DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[°], Elevation[°], Message
 3.75028, 247.489,  -8.000, Hot reference on ground (To)
 3.75028, -81.789, -20.295, Rotor position possibly out of range
 3.75028, 247.489,  -8.000, Moon position possibly out of range
 3.76694, 247.663,  -8.000, Hot reference on ground (To)
 3.76694, -81.963, -20.292, Rotor position possibly out of range
 3.76694, 247.663,  -8.000, Moon position possibly out of range
 3.78361, 247.838,  -8.000, Hot reference on ground (To)
 3.78361, -82.138, -20.289, Rotor position possibly out of range
 3.78361, 247.838,  -8.000, Moon position possibly out of range
 3.80028, 248.013,   5.075, Off source in elevation
 3.80028, -82.313,  -7.211, Rotor position possibly out of range
 3.80028, 248.013,   5.075, Moon position possibly out of range
 3.81694, 248.187,   4.867, Off source in elevation
 3.81694, -82.487,  -7.416, Rotor position possibly out of range
 3.81694, 248.187,   4.867, Moon position possibly out of range
 3.83361, 248.361,   4.671, Off source in elevation
 3.83361, -82.661,  -7.608, Rotor position possibly out of range
 3.83361, 248.361,   4.671, Moon position possibly out of range
 3.85028, 248.535,  -5.517, On source in elevation
 3.85028, -82.835, -17.793, Rotor position possibly out of range
 3.85028, 248.535,  -5.517, Moon position possibly out of range
 3.86694, 248.709,  -5.697, On source in elevation
 3.86694, -83.009, -17.970, Rotor position possibly out of range
 3.86694, 248.709,  -5.697, Moon position possibly out of range
 3.88361, 248.883,  -5.873, On source in elevation
 3.88361, -83.183, -18.142, Rotor position possibly out of range
 3.88361, 248.883,  -5.873, Moon position possibly out of range
 3.90028, 249.057,   3.955, Off source in elevation
 3.90028, -83.357,  -8.311, Rotor position possibly out of range
 3.90028, 249.057,   3.955, Moon position possibly out of range
 3.91694, 249.231,   3.787, Off source in elevation
 3.91694, -83.531,  -8.476, Rotor position possibly out of range
 3.91694, 249.231,   3.787, Moon position possibly out of range
 3.93361, 249.405,   3.621, Off source in elevation
 3.93361, -83.705,  -8.639, Rotor position possibly out of range
 3.93361, 249.405,   3.621, Moon position possibly out of range
 3.95028, 249.578,  -6.543, On source in elevation
 3.95028, -83.878, -18.800, Rotor position possibly out of range
 3.95028, 249.578,  -6.543, Moon position possibly out of range
 3.96694, 249.751,  -6.705, On source in elevation
 3.96694, -84.051, -18.959, Rotor position possibly out of range
 3.96694, 249.751,  -6.705, Moon position possibly out of range
 3.98361, 249.925,  -6.866, On source in elevation
 3.98361, -84.225, -19.116, Rotor position possibly out of range
 3.98361, 249.925,  -6.866, Moon position possibly out of range
 4.00028, 250.098,  -8.000, Hot reference on ground (To)
 4.00028, -84.398, -20.247, Rotor position possibly out of range
 4.00028, 250.098,  -8.000, Moon position possibly out of range
 4.01694, 250.271,  -8.000, Hot reference on ground (To)
 4.01694, -84.571, -20.244, Rotor position possibly out of range
 4.01694, 250.271,  -8.000, Moon position possibly out of range
 4.03361, 250.444,  -8.000, Hot reference on ground (To)
 4.03361, -84.744, -20.241, Rotor position possibly out of range
 4.03361, 250.444,  -8.000, Moon position possibly out of range
 4.05028, 250.617,   2.501, Off source in elevation
 4.05028, -84.917,  -9.737, Rotor position possibly out of range
 4.05028, 250.617,   2.501, Moon position possibly out of range
 4.06694, 250.790,   2.344, Off source in elevation
 4.06694, -85.090,  -9.890, Rotor position possibly out of range
 4.06694, 250.790,   2.344, Moon position possibly out of range
 4.08361, 250.963,   2.188, Off source in elevation
 4.08361, -85.263, -10.043, Rotor position possibly out of range
 4.08361, 250.963,   2.188, Moon position possibly out of range
 4.10028, 251.135,  -7.968, On source in elevation
 4.10028, -85.435, -20.196, Rotor position possibly out of range
 4.10028, 251.135,  -7.968, Moon position possibly out of range
