start_scan_UTC,end_scan_UTC,amplitude_fit,delta_azi_fit,delta_ele_fit,sigma_azi_fit,sigma_ele_fit,aziref,eleref,quality_check
2025-04-15 12:59:00,2025-04-15 13:00:00,149.4754526935941,-0.3010945450144975,-0.1736729016008255,1.8898687499950075,1.3332446847996071,182.4,60.5,1
2025-04-15 13:59:00,2025-04-15 14:00:00,149.3206996774955,0.2493476260116002,-0.1690444538576272,1.3300088981032046,1.3655737737894709,182.4,60.5,1
2025-04-16 08:59:00,2025-04-16 09:00:00,151.20782250979792,-0.1028771830704605,-0.0534331060115878,1.3761103801245906,1.2435059185587438,182.4,60.5,1
2025-04-16 09:59:00,2025-04-16 10:00:00,150.96358543217588,-0.5230411066565603,-0.1641390642281801,1.4613900743941115,1.248626906759854,182.4,60.5,1
2025-04-16 10:59:00,2025-04-16 11:00:00,150.35795159471928,-0.9817049928323188,-0.1329075480699511,1.5902938337284973,1.4199977873528076,182.4,60.5,0
2025-04-16 11:59:00,2025-04-16 12:00:00,150.08185011566366,-0.7722827439911675,-0.3156592699921553,1.7459029299733642,1.4786268790692476,182.4,60.5,0
2025-04-16 12:59:00,2025-04-16 13:00:00,150.04692996795495,-0.4985827420830917,-0.1856927192268507,1.819599064289389,1.3480240547016125,182.4,60.5,1
2025-04-16 13:59:00,2025-04-16 14:00:00,150.2909700341476,0.1153520686881549,-0.1662160715936936,1.3282350277824406,1.4619171194314011,182.4,60.5,1
2025-04-17 08:59:00,2025-04-17 09:00:00,150.40979520963876,-0.0963968454652098,-0.1828626872113612,1.4715501000592195,1.3814199917681718,182.4,60.5,1
2025-04-17 09:59:00,2025-04-17 10:00:00,150.11520429146893,-0.5678493329128461,-0.1377722265310451,1.4807641974478751,1.3031807825622244,182.4,60.5,1
2025-04-17 10:59:00,2025-04-17 11:00:00,150.1031692181212,-1.2473568471225152,-0.0163697239991834,1.5930392067345065,1.2238123749527574,182.4,60.5,0
2025-04-17 11:59:00,2025-04-17 12:00:00,150.7804958885206,-1.0600957639407744,-0.0807723260325911,1.4964009774401843,1.174024667142148,182.4,60.5,0
2025-04-17 12:59:00,2025-04-17 13:00:00,150.1198324375933,-0.4174286208241703,-0.1173626233485135,1.5913773051463416,1.175405889803101,182.4,60.5,1
2025-04-17 13:59:00,2025-04-17 14:00:00,150.10084797778038,0.1409503202873694,-0.1518875597955437,1.1590934041062102,1.1929037166096468,182.4,60.5,1
2025-04-18 08:59:00,2025-04-18 09:00:00,149.58763691424352,-0.1034792733687738,0.0008574896436199,1.5088835392756443,1.2537455360803107,182.4,60.5,1
2025-04-18 09:59:00,2025-04-18 10:00:00,149.64236923010046,-0.5477883022561602,-0.0292438410135758,1.3770703262346082,1.2127158160667788,182.4,60.5,1
2025-04-18 10:59:00,2025-04-18 11:00:00,150.14139001150707,-0.976516021179218,-0.0365593921320982,1.4144740731734284,1.2625267253747317,182.4,60.5,0
2025-04-18 11:59:00,2025-04-18 12:00:00,150.30992179063085,-1.0005917654033074,-0.1091790403241123,1.514224618013697,1.1811798745539994,182.4,60.5,0
2025-04-18 12:59:00,2025-04-18 13:00:00,149.18082444001186,-0.400017605963758,-0.1113757926637232,1.6109673842657062,1.1884272626461343,182.4,60.5,1
2025-04-18 13:59:00,2025-04-18 14:00:00,150.01951561464642,0.174594939034847,-0.1234855842885656,1.151977344101434,1.146654761281635,182.4,60.5,1
2025-04-19 08:59:00,2025-04-19 09:00:00,149.99975456561424,-0.1767003446210404,-0.018890537252217,1.668801583005495,1.2731870731547306,182.4,60.5,1
2025-04-19 09:59:00,2025-04-19 10:00:00,150.24297034091842,-0.7154748855043696,-0.0172665488828995,1.5088379404602117,1.2302783479145862,182.4,60.5,0
2025-04-19 10:59:00,2025-04-19 11:00:00,151.45348064704513,-2.169178936247178,0.2284381598151081,2.183096798273977,1.6643491048352668,182.4,60.5,0
2025-04-19 11:59:00,2025-04-19 12:00:00,150.09613109660188,-0.7995259535271774,-0.1101086759368838,1.4989647621529238,1.280533784907144,182.4,60.5,0
2025-04-19 12:59:00,2025-04-19 13:00:00,150.0409818520678,-0.4917469327960259,-0.1585690757205775,1.6777155976549882,1.208023475433425,182.4,60.5,1
2025-04-19 13:59:00,2025-04-19 14:00:00,150.20504506490695,0.0866435541006394,-0.135088014109327,1.1345633240576274,1.1768762184659023,182.4,60.5,1
2025-04-20 08:59:00,2025-04-20 09:00:00,150.71060329092694,-0.0907277621646368,-0.1367231961538856,1.415690053329563,1.3229835293436043,182.4,60.5,1
2025-04-20 09:59:00,2025-04-20 10:00:00,150.4901393531746,-0.6600061162201846,-0.2016045779870922,1.685139789617629,1.379157871187252,182.4,60.5,1
2025-04-20 10:59:00,2025-04-20 11:00:00,150.49806266703268,-1.3251540718114214,-0.2512440720202944,1.9709460700389,1.3633487350652982,182.4,60.5,0
2025-04-20 11:59:00,2025-04-20 12:00:00,149.5780173617624,-0.7382363542237282,-0.3648207180917512,1.673515137128845,1.5018360765956609,182.4,60.5,0
2025-04-20 12:59:00,2025-04-20 13:00:00,149.48088576215002,-0.3832598999205679,-0.3211016097851142,1.7578497102241712,1.3090068404791628,182.4,60.5,1
2025-04-20 13:59:00,2025-04-20 14:00:00,149.49364088386085,0.1138961924992364,-0.2654889844568063,1.2826192909217953,1.2860850147200902,182.4,60.5,1
2025-04-21 08:59:00,2025-04-21 09:00:00,149.75032477448738,-0.0994437009517345,0.0269491480975548,1.3734523369192275,1.2018921393636322,182.4,60.5,1
2025-04-21 09:59:00,2025-04-21 10:00:00,149.49820293235305,-0.7205798748453248,-0.0345564127604365,1.4090197280503052,1.1413999469006388,182.4,60.5,0
2025-04-21 10:59:00,2025-04-21 11:00:00,149.86333017957875,-1.5913767491305475,-0.0090646100500034,1.768513698359378,1.1506323486621837,182.4,60.5,0
2025-04-21 11:59:00,2025-04-21 12:00:00,150.64858780628623,-1.4686654908842516,-0.0723073405370283,1.748842363177184,1.1840728429495893,182.4,60.5,0
2025-04-21 12:59:00,2025-04-21 13:00:00,150.13384541435448,-0.6829595510618632,-0.111099772014977,1.6375789280685713,1.1223168182971646,182.4,60.5,1
