# DiSEqC radio telescope tracker
# Author: Christian Monstein, HB9SCT
# Version: 2023-04-27
# Reference positions: Azimuth= 186.300 deg, Elevation=  60.500 deg

TIME [UT];Real azimuth [deg];Real elevation [deg];Rotor azimuth [deg];Rotor elevation [deg]; Message
13.07982; 205.758;  19.995; -19.458; -40.507;Commanded position az=-19.458, el=-40.507
13.08038; 205.758;  19.495; -19.458; -41.007;Commanded position az=-19.458, el=-41.007
13.08094; 205.758;  18.995; -19.458; -41.507;Commanded position az=-19.458, el=-41.507
13.08149; 205.758;  18.495; -19.458; -42.007;Commanded position az=-19.458, el=-42.007
13.08205; 205.758;  17.995; -19.458; -42.507;Commanded position az=-19.458, el=-42.507
13.08261; 205.758;  17.495; -19.458; -43.007;Commanded position az=-19.458, el=-43.007
13.08316; 205.758;  16.995; -19.458; -43.507;Commanded position az=-19.458, el=-43.507
13.08372; 205.758;  16.495; -19.458; -44.007;Commanded position az=-19.458, el=-44.007
13.08428; 205.758;  15.995; -19.458; -44.507;Commanded position az=-19.458, el=-44.507
13.08483; 205.758;  15.495; -19.458; -45.007;Commanded position az=-19.458, el=-45.007
